0
tensor(398.5588, dtype=torch.float64)
tensor(395.5086, dtype=torch.float64)
tensor(394.7161, dtype=torch.float64)
tensor(395.0523, dtype=torch.float64)
tensor(395.0744, dtype=torch.float64)
tensor(395.3551, dtype=torch.float64)
tensor(396.0433, dtype=torch.float64)
tensor(389.3078, dtype=torch.float64)
tensor(396.6817, dtype=torch.float64)
tensor(394.2901, dtype=torch.float64)
tensor(397.6969, dtype=torch.float64)
tensor(394.3765, dtype=torch.float64)
tensor(394.5301, dtype=torch.float64)
tensor(393.6781, dtype=torch.float64)
tensor(392.3426, dtype=torch.float64)
tensor(397.5742, dtype=torch.float64)
tensor(393.2653, dtype=torch.float64)
tensor(392.6493, dtype=torch.float64)
tensor(394.2526, dtype=torch.float64)
tensor(396.1070, dtype=torch.float64)
tensor(396.8503, dtype=torch.float64)
tensor(395.3093, dtype=torch.float64)
tensor(391.1533, dtype=torch.float64)
tensor(391.5899, dtype=torch.float64)
tensor(390.8444, dtype=torch.float64)
tensor(390.9051, dtype=torch.float64)
tensor(396.8745, dtype=torch.float64)
tensor(392.8246, dtype=torch.float64)
tensor(395.0294, dtype=torch.float64)
tensor(391.2188, dtype=torch.float64)
tensor(394.5251, dtype=torch.float64)
tensor(391.3017, dtype=torch.float64)
tensor(389.3155, dtype=torch.float64)
tensor(394.8771, dtype=torch.float64)
tensor(391.9464, dtype=torch.float64)
tensor(392.2991, dtype=torch.float64)
tensor(390.7249, dtype=torch.float64)
tensor(391.4624, dtype=torch.float64)
tensor(394.4508, dtype=torch.float64)
tensor(393.0182, dtype=torch.float64)
tensor(390.9001, dtype=torch.float64)
tensor(396.5940, dtype=torch.float64)
tensor(393.2851, dtype=torch.float64)
tensor(393.8090, dtype=torch.float64)
tensor(388.6008, dtype=torch.float64)
tensor(394.1130, dtype=torch.float64)
tensor(391.3380, dtype=torch.float64)
tensor(396.8170, dtype=torch.float64)
tensor(391.8739, dtype=torch.float64)
tensor(394.4381, dtype=torch.float64)
tensor(393.9033, dtype=torch.float64)
tensor(399.8264, dtype=torch.float64)
tensor(395.7679, dtype=torch.float64)
tensor(393.2269, dtype=torch.float64)
tensor(396.5027, dtype=torch.float64)
tensor(391.4168, dtype=torch.float64)
tensor(393.7862, dtype=torch.float64)
tensor(393.6173, dtype=torch.float64)
tensor(391.2481, dtype=torch.float64)
tensor(393.1921, dtype=torch.float64)
tensor(388.0951, dtype=torch.float64)
tensor(391.0925, dtype=torch.float64)
tensor(391.8615, dtype=torch.float64)
tensor(389.4307, dtype=torch.float64)
tensor(393.7168, dtype=torch.float64)
tensor(387.2467, dtype=torch.float64)
tensor(395.6994, dtype=torch.float64)
tensor(390.1328, dtype=torch.float64)
tensor(395.1271, dtype=torch.float64)
tensor(391.3855, dtype=torch.float64)
tensor(390.7390, dtype=torch.float64)
tensor(392.5548, dtype=torch.float64)
tensor(390.1302, dtype=torch.float64)
tensor(391.2509, dtype=torch.float64)
tensor(388.8215, dtype=torch.float64)
tensor(393.4683, dtype=torch.float64)
tensor(393.4305, dtype=torch.float64)
tensor(391.1568, dtype=torch.float64)
tensor(392.6414, dtype=torch.float64)
tensor(388.8143, dtype=torch.float64)
tensor(390.3537, dtype=torch.float64)
tensor(393.7752, dtype=torch.float64)
tensor(391.4072, dtype=torch.float64)
tensor(388.6093, dtype=torch.float64)
tensor(388.5044, dtype=torch.float64)
tensor(391.7597, dtype=torch.float64)
tensor(388.6339, dtype=torch.float64)
tensor(389.0430, dtype=torch.float64)
tensor(388.9314, dtype=torch.float64)
tensor(392.9174, dtype=torch.float64)
tensor(389.7085, dtype=torch.float64)
tensor(389.0846, dtype=torch.float64)
tensor(390.1242, dtype=torch.float64)
tensor(387.3754, dtype=torch.float64)
tensor(394.0549, dtype=torch.float64)
tensor(386.9734, dtype=torch.float64)
tensor(392.5266, dtype=torch.float64)
tensor(393.6206, dtype=torch.float64)
tensor(388.8568, dtype=torch.float64)
tensor(389.2514, dtype=torch.float64)
tensor(390.5430, dtype=torch.float64)
tensor(387.9108, dtype=torch.float64)
tensor(389.0485, dtype=torch.float64)
tensor(386.9810, dtype=torch.float64)
tensor(388.4220, dtype=torch.float64)
tensor(393.1951, dtype=torch.float64)
tensor(385.8200, dtype=torch.float64)
tensor(391.8982, dtype=torch.float64)
tensor(390.2117, dtype=torch.float64)
tensor(388.1216, dtype=torch.float64)
tensor(389.5881, dtype=torch.float64)
tensor(387.1812, dtype=torch.float64)
tensor(388.2206, dtype=torch.float64)
tensor(384.5460, dtype=torch.float64)
tensor(389.5254, dtype=torch.float64)
tensor(390.3759, dtype=torch.float64)
tensor(389.3638, dtype=torch.float64)
tensor(389.1994, dtype=torch.float64)
tensor(388.3276, dtype=torch.float64)
tensor(385.2644, dtype=torch.float64)
tensor(388.7928, dtype=torch.float64)
tensor(387.1717, dtype=torch.float64)
tensor(385.1160, dtype=torch.float64)
tensor(389.1646, dtype=torch.float64)
tensor(390.4757, dtype=torch.float64)
tensor(389.2329, dtype=torch.float64)
tensor(390.4805, dtype=torch.float64)
tensor(389.3816, dtype=torch.float64)
tensor(389.1607, dtype=torch.float64)
tensor(389.3795, dtype=torch.float64)
tensor(388.3227, dtype=torch.float64)
tensor(389.6400, dtype=torch.float64)
tensor(391.8972, dtype=torch.float64)
tensor(390.1953, dtype=torch.float64)
tensor(390.5261, dtype=torch.float64)
tensor(389.9130, dtype=torch.float64)
tensor(391.4756, dtype=torch.float64)
tensor(392.8860, dtype=torch.float64)
tensor(387.8340, dtype=torch.float64)
tensor(391.0525, dtype=torch.float64)
tensor(385.9046, dtype=torch.float64)
tensor(390.5959, dtype=torch.float64)
tensor(386.6803, dtype=torch.float64)
tensor(391.8266, dtype=torch.float64)
tensor(386.0695, dtype=torch.float64)
tensor(385.9214, dtype=torch.float64)
tensor(390.3415, dtype=torch.float64)
tensor(388.5083, dtype=torch.float64)
tensor(390.4725, dtype=torch.float64)
tensor(387.5975, dtype=torch.float64)
tensor(390.9351, dtype=torch.float64)
tensor(387.7009, dtype=torch.float64)
tensor(386.8195, dtype=torch.float64)
tensor(386.1364, dtype=torch.float64)
tensor(389.4304, dtype=torch.float64)
tensor(392.8384, dtype=torch.float64)
tensor(388.8062, dtype=torch.float64)
tensor(388.7122, dtype=torch.float64)
tensor(386.6570, dtype=torch.float64)
tensor(393.4376, dtype=torch.float64)
tensor(384.9162, dtype=torch.float64)
tensor(388.3767, dtype=torch.float64)
tensor(389.1966, dtype=torch.float64)
tensor(392.3744, dtype=torch.float64)
tensor(388.2782, dtype=torch.float64)
tensor(387.3384, dtype=torch.float64)
tensor(390.5367, dtype=torch.float64)
tensor(387.8202, dtype=torch.float64)
tensor(391.1653, dtype=torch.float64)
tensor(388.7810, dtype=torch.float64)
tensor(386.6179, dtype=torch.float64)
tensor(391.4182, dtype=torch.float64)
tensor(389.4110, dtype=torch.float64)
tensor(388.3219, dtype=torch.float64)
tensor(388.7076, dtype=torch.float64)
tensor(386.6103, dtype=torch.float64)
tensor(387.4452, dtype=torch.float64)
tensor(388.2978, dtype=torch.float64)
tensor(390.2961, dtype=torch.float64)
tensor(389.4349, dtype=torch.float64)
tensor(389.5629, dtype=torch.float64)
tensor(388.6686, dtype=torch.float64)
tensor(388.8600, dtype=torch.float64)
tensor(390.2304, dtype=torch.float64)
tensor(391.0003, dtype=torch.float64)
tensor(388.8044, dtype=torch.float64)
tensor(390.3130, dtype=torch.float64)
tensor(389.4268, dtype=torch.float64)
tensor(389.3536, dtype=torch.float64)
tensor(390.9095, dtype=torch.float64)
tensor(385.8939, dtype=torch.float64)
tensor(393.9381, dtype=torch.float64)
tensor(392.5507, dtype=torch.float64)
tensor(386.2410, dtype=torch.float64)
tensor(388.3575, dtype=torch.float64)
tensor(389.0926, dtype=torch.float64)
tensor(390.4937, dtype=torch.float64)
tensor(393.7406, dtype=torch.float64)
tensor(390.1716, dtype=torch.float64)
tensor(389.0631, dtype=torch.float64)
tensor(392.3317, dtype=torch.float64)
tensor(386.1911, dtype=torch.float64)
tensor(389.7018, dtype=torch.float64)
tensor(391.9507, dtype=torch.float64)
tensor(386.4997, dtype=torch.float64)
tensor(387.8551, dtype=torch.float64)
tensor(388.3614, dtype=torch.float64)
tensor(385.9758, dtype=torch.float64)
tensor(387.3878, dtype=torch.float64)
tensor(390.4527, dtype=torch.float64)
tensor(387.5880, dtype=torch.float64)
tensor(388.5029, dtype=torch.float64)
tensor(389.5888, dtype=torch.float64)
tensor(386.1312, dtype=torch.float64)
tensor(389.2894, dtype=torch.float64)
tensor(389.0172, dtype=torch.float64)
tensor(389.6638, dtype=torch.float64)
tensor(389.8734, dtype=torch.float64)
tensor(388.4608, dtype=torch.float64)
